UserID;FIL1;FIL2;FIL3;USE.MA;USE.CS;USE.PT;USE.RP;USE.LO;USE.RS;USE.ALL;MS;USE.MS;QUAL.MS;USE1;USE2;USE3;USE4;USE5;USE6;USE7;UI1;UI2;UI3;SAT1;SAT2;SAT3;LOY1;LOY2;LOY3;PE1;PE2;PE3;PE4;PE5;EE1;EE2;EE3;EE4;SI1;SI2;SI3;SI4;FC1;FC2;FC3;FC4;HM1;HM2;HM3;HM4;PV1;PV2;PV3;HT1;HT2;HT3;HT4;HT5;IND1;IND2;IND3;IND4;IND5;MRE1;MRE2;MRE3;MRE4;FLE1;FLE2;FLE3;FLE4;REL1;REL2;TIM1;TIM2;COS1;COS2;DRI1;DRI2;DRI3;DRI4;DRI5;OCC1;OCC2;OCC3;SUP1;SUP2;SUP3;SUP4;OPT1;OPT2;OPT3;OPT4;INN1;INN2;INN3;INN4;DIS1;DIS2;DIS3;DIS4;INS1;INS2;INS3;INS4;INE1;INE2;INE3;EXP1;EXP2;EXP3;EXP4;EXP5;EXP6;MPT1;MPT2;MPT3;MPT4;MPT5;MPT6;MPW1;MPW2;MPW3;MPW4;MPW5;MPW6;SOC1;SOC2;SOC3;SOC4;SOC5;SOC6;MOS1;MOS2;MOS3;MOS5;MOS4;MOS6;MOS7;MOS8;MOS9;MOE1;MOE2;MOE3;MOE4;MOE5;MOE6;DTWmax;OPT_mean;INN_mean;DIS_mean;INS_mean;DTW;AWCD;TRI;MPT;TRI_group
4842824850;A;A;A;5;1;5;1;1;1;5;DB Navigator;4;5;3;3;7;7;3;7;3;7;7;5;7;7;7;7;5;6;6;6;6;6;5;6;6;6;6;5;5;5;5;6;6;6;5;5;6;5;5;4;4;4;6;5;5;5;6;6;6;6;5;6;7;6;6;6;6;6;6;6;5;5;5;5;6;6;6;5;5;5;6;3;3;5;5;5;3;5;4;4;4;4;1;2;2;2;3;3;2;2;4;3;3;4;5;6;6;5;5;5;5;1;1;1;5;2;4;4;2;1;2;1;1;2;1;B;B;B;H;B;A;A;G;G;G;G;0;A;G;E;A;B;B;A;B;B;0;4;27395;42492;42493;0;0;29375;A;1
4842808153;A;A;A;5;2;1;4;4;3;6;GoogleMaps;6;6;6;5;5;5;1;2;4;5;5;5;4;4;5;2;3;3;3;3;2;4;3;2;3;2;3;2;3;4;3;2;2;5;1;6;3;4;2;5;3;4;3;2;5;3;4;4;5;5;1;6;5;4;2;2;5;3;6;2;4;2;5;3;6;5;5;2;1;4;4;2;4;6;3;4;3;1;5;3;1;3;5;2;4;2;4;5;2;2;5;2;1;2;3;4;1;3;3;4;4;3;3;3;3;4;3;2;4;2;3;5;4;4;5;B;A;C;C;B;B;A;F;B;B;C;5;B;D;D;B;B;A;B;A;B;5;3;45717;45717;42492;42492;25;3125;B;1
4842807081;A;A;A;5;1;2;2;1;2;5;GoogleMaps;5;4;6;3;6;5;2;2;6;6;6;6;5;5;5;6;2;4;5;3;6;5;6;6;6;6;6;4;4;4;6;6;6;4;5;5;6;3;5;5;6;5;5;2;3;6;5;3;5;3;3;6;6;6;5;6;3;6;5;6;5;5;5;5;3;3;2;3;2;3;3;3;3;6;2;3;2;5;4;4;4;2;2;3;4;2;2;2;2;4;4;5;5;5;3;4;3;5;5;5;5;4;4;4;2;1;7;1;1;2;2;1;3;4;1;B;B;B;G;B;B;A;G;G;G;H;0;A;G;E;B;B;B;B;B;A;0;42493;27426;42492;27485;0;0;27426;C;2
4842801573;A;A;A;4;2;6;2;2;2;5;GoogleMaps;4;5;4;4;4;5;5;5;4;4;4;4;5;5;4;5;5;5;4;4;5;4;5;5;5;6;5;4;3;4;5;5;5;5;5;4;5;5;4;4;4;5;4;3;3;4;4;5;4;5;4;5;4;4;4;5;5;4;4;5;5;5;5;5;4;4;4;3;3;4;4;4;5;3;3;3;3;4;3;3;2;2;1;1;2;1;2;3;2;2;3;4;3;3;4;5;4;5;5;3;3;1;1;1;6;1;2;1;1;1;2;2;1;2;3;C;A;C;H;A;A;A;G;G;G;H;0;A;G;E;A;B;B;B;B;B;0;42492;45658;45689;45717;0;0;25625;D;2
4842782248;A;A;A;5;1;1;4;1;1;3;App des lokalen Verkehrsverbundes;2;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;6;6;6;6;6;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;3;3;3;3;3;3;3;3;2;3;3;2;5;5;5;5;5;5;5;5;5;4;1;7;1;1;1;2;2;1;2;4;4;D;B;B;E;B;B;A;B;D;B;D;1;D;A;D;B;B;B;A;A;A;30;4;3;3;42492;15;150;3375;E;3
4842780363;A;A;A;7;1;7;6;1;2;5;GoogleMaps;7;6;6;3;5;6;1;5;2;7;7;7;6;6;6;6;6;6;6;6;6;6;7;6;6;6;6;5;5;5;6;6;5;4;5;4;6;3;4;4;4;4;5;3;3;4;6;6;6;6;6;6;6;5;5;6;6;6;5;6;5;6;5;5;5;5;5;5;4;4;5;2;2;3;2;5;4;5;4;4;4;4;4;2;4;3;2;3;2;2;4;3;4;2;6;6;6;5;5;5;5;5;1;7;6;7;4;5;4;2;2;2;3;4;4;C;A;C;D;B;C;A;B;D;B;B;1;A;A;B;B;B;B;A;B;A;30;4;45717;45689;45717;15;150;34375;A;3
4842704886;A;A;A;3;1;2;1;1;1;3;GoogleMaps;3;6;2;2;6;6;1;1;2;7;7;7;7;7;7;7;5;6;5;6;4;6;6;6;5;6;6;1;1;1;5;6;6;4;4;3;4;2;2;4;4;4;5;4;3;5;6;4;4;5;3;4;4;5;4;4;5;4;4;5;4;5;4;4;5;5;5;2;5;2;5;3;4;3;1;1;1;1;4;2;3;3;2;2;4;3;3;3;2;3;5;4;4;2;5;4;4;5;5;5;5;5;5;3;3;7;4;1;1;2;3;1;1;5;5;B;B;D;D;B;F;A;A;B;A;D;1;A;B;D;B;B;A;A;A;B;5;3;27426;27426;27454;42492;25;28125;B;2
4842700271;A;A;A;5;1;3;5;4;1;5;Karten;5;6;5;5;5;6;5;5;4;6;6;6;6;6;6;6;4;5;6;4;6;5;5;7;6;6;7;4;4;4;6;6;6;6;4;4;6;4;4;6;5;6;6;4;4;6;6;6;4;4;6;4;6;6;5;6;6;7;5;7;5;5;6;7;4;4;4;5;4;4;5;3;3;3;4;5;4;5;4;4;4;4;4;4;4;4;3;3;3;3;4;4;4;3;5;5;5;5;5;5;5;1;1;6;7;6;6;3;5;2;3;2;3;5;5;C;B;C;D;B;F;A;A;C;B;C;7;D;B;B;A;B;B;A;A;A;10;4;4;3;27454;5;50;33125;A;3
4842553895;A;A;A;1;1;6;1;6;1;6;App des lokalen Verkehrsverbundes;5;5;4;4;2;2;2;3;2;2;2;2;4;4;4;3;3;3;3;4;4;3;3;2;3;3;2;4;3;4;3;4;5;5;3;2;2;2;2;3;4;3;4;3;4;3;4;4;2;3;2;2;2;2;1;2;1;2;2;2;2;3;3;1;3;3;2;2;2;3;2;1;1;1;4;4;4;4;2;2;2;2;2;2;2;2;1;1;1;1;2;2;2;2;1;1;1;5;5;5;5;5;5;7;4;1;1;3;2;3;2;3;3;3;3;D;B;B;D;B;B;F;C;C;C;B;3;A;A;B;A;B;B;B;B;A;10;2;2;1;2;5;50;45717;C;1
4842484881;A;A;A;5;1;1;1;1;1;1;Karten;5;5;6;6;2;6;2;2;6;6;6;6;6;6;6;6;4;4;4;4;6;5;5;6;4;4;6;4;4;4;6;6;6;5;5;4;4;4;4;4;4;4;6;2;4;3;2;5;6;6;3;6;5;6;4;5;5;5;5;6;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;3;3;3;3;4;3;2;4;4;2;3;3;2;4;3;4;2;4;6;4;5;5;5;5;1;1;1;2;7;1;1;1;3;2;5;3;1;1;B;A;C;D;B;C;B;E;F;F;D;1;A;E;D;B;B;B;A;A;A;100;45717;45717;42492;45717;50;500;31875;E;1
