Location[0]	Station-No.[1]	GeoX[2]	GeoY[3]	North[4]	East[5]	VehicleCount[6]	OpenParkingSpots (used only for onewaycarsharing)[7]	
8557	8557	4599779.912506716	5815911.5960525405	-	-	1	
3131	3131	4617275.343248391	5823187.613253192	-	-	1	
5982	5982	4609604.335424755	5806781.044118354	-	-	1	
11540	11540	4596003.148172749	5807006.5032785535	-	-	1	
12132	12132	4610039.137859589	5818682.252502603	-	-	1	
5804	5804	4598581.462823746	5823277.918551634	-	-	1	
3689	3689	4591792.286509626	5852732.632272753	-	-	1	
6453	6453	4588211.942996323	5819533.604020716	-	-	1	
3248	3248	4628321.192576424	5827543.403654915	-	-	1	
5947	5947	4604730.452575836	5840661.827891386	-	-	1	
6527	6527	4597400.0244971225	5823760.606013338	-	-	1	
1873	1873	4605112.286815466	5817015.181157451	-	-	1	
1932	1932	4601318.146503135	5813946.334408644	-	-	1	
6004	6004	4589896.532087789	5814888.3076020265	-	-	1	
4279	4279	4560074.9456018135	5813768.726124542	-	-	1	
5217	5217	4603807.693462813	5819304.852399103	-	-	1	
3093	3093	4614215.159267958	5822732.046546546	-	-	1	
2855	2855	4596989.658570268	5833113.610595875	-	-	1	
3145	3145	4618204.7473264495	5823955.257955564	-	-	1	
6288	6288	4585332.213781428	5819448.934293799	-	-	1	
7713	7713	4598565.828048522	5818258.147277389	-	-	1	
7705	7705	4589255.201420965	5814498.475367509	-	-	1	
7703	7703	4598046.627865188	5822484.741079085	-	-	1	
4409	4409	4595596.488545279	5803779.135889452	-	-	1	
2470	2470	4598350.052370903	5816787.214232291	-	-	1	
562	562	4593472.758498917	5807361.858677178	-	-	1	
1372	1372	4607797.324966031	5821842.770422848	-	-	1	
1440	1440	4578160.330748367	5807900.806938983	-	-	1	
12067	12067	4599070.327435969	5823919.937022552	-	-	1	
779	779	4597060.313356815	5818706.895549743	-	-	1	
1880	1880	4570011.228766315	5833189.098014574	-	-	1	
6377	6377	4597056.341370446	5832348.210877827	-	-	1	
8292	8292	4602261.526604261	5809485.378420575	-	-	1	
11670	11670	4587638.966864748	5822407.568737807	-	-	1	
3218	3218	4622642.84820932	5815271.418528475	-	-	1	
9556	9556	4602754.949196666	5826667.950769483	-	-	1	
8250	8250	4606225.796317345	5814799.126982266	-	-	1	
10439	10439	4593150.528962798	5824576.547238768	-	-	1	
35	35	4613626.527911261	5805397.708689175	-	-	1	
6891	6891	4600874.114384484	5820667.3007748965	-	-	1	
6808	6808	4589471.882946165	5826512.155714973	-	-	1	
9242	9242	4580840.638495839	5826165.374819895	-	-	1	
8374	8374	4594120.166096204	5826568.068149112	-	-	1	
2532	2532	4601667.681176931	5810236.07714557	-	-	1	
8045	8045	4589584.993570146	5820702.145962101	-	-	1	
3642	3642	4566873.186735163	5809745.734879878	-	-	1	
1367	1367	4596471.54521856	5826262.33757352	-	-	1	
6247	6247	4596933.130775197	5817993.820071484	-	-	1	
12160	12160	4592288.381058965	5816531.149270165	-	-	1	
348	348	4604756.614973166	5814515.246129604	-	-	1	
7444	7444	4611923.299208386	5813305.080633361	-	-	1	
10590	10590	4593234.271203191	5833720.5131462915	-	-	1	
3921	3921	4616847.708291999	5818762.378130606	-	-	1	
